('002193', 3, <type 'exceptions.Exception'>, ':', HTTPError())('000099', 3, <type 'exceptions.Exception'>, ':', HTTPError())

('300252', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600783', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601669', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002193', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000099', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600781', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300252', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601669', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002193', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000098', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600781', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601668', 3, <type 'exceptions.Exception'>, ':', HTTPError())('300252', 3, <type 'exceptions.Exception'>, ':', HTTPError())

('000098', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002193', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300252', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600784', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601668', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002193', 2, <type 'exceptions.Exception'>, ':', HTTPError())('000095', 2, <type 'exceptions.Exception'>, ':', HTTPError())

('300252', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601668', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600789', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000094', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002193', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601668', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300252', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600788', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002193', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300252', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000094', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601663', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600788', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300252', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002191', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600788', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000094', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601662', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300252', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002196', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600788', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601661', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000094', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300252', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002196', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000094', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601661', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600930', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002196', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300253', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000094', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600930', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002196', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000094', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601660', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600930', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002197', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000094', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601667', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600930', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002197', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000097', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601667', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600931', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000097', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601666', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002197', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600931', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000096', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601666', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002194', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600931', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000096', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002194', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601665', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600932', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000096', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601665', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002938', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600932', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000091', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601665', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002939', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600932', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000090', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601665', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002939', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600933', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300250', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000090', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601664', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002939', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600933', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300251', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601664', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000090', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002934', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600933', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601815', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300251', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000090', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002934', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600936', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300251', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601815', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000093', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002934', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600936', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300256', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601815', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000093', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002935', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600936', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300256', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601946', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000093', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002935', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600937', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300256', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002935', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000092', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601946', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600937', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300257', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002935', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000092', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600937', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300257', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002936', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000092', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601188', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002936', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300257', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001919', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601188', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300257', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002937', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001918', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601188', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002930', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300257', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001918', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601189', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002930', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('001913', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300257', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601189', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300254', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002931', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('001913', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601189', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300255', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002931', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001913', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601182', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601947', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300255', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('001913', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002932', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300255', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001913', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601182', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601944', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002933', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601183', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300255', 3, <type 'exceptions.Exception'>, ':', HTTPError())('601944', 3, <type 'exceptions.Exception'>, ':', HTTPError())

('002933', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001913', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601180', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300255', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002248', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601944', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001913', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601180', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300258', 2, <type 'exceptions.Exception'>, ':', HTTPError())('002248', 2, <type 'exceptions.Exception'>, ':', HTTPError())

('001912', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601944', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601180', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002249', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001912', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300258', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601944', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601181', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001912', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300259', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002249', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601944', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601181', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001911', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300259', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002249', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601181', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601945', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('001911', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002249', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601181', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601942', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001911', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002249', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601186', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601942', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001911', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002246', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601186', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300069', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601942', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001910', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002246', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601186', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300068', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601942', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601186', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001910', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002247', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300068', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601943', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601186', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300068', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002244', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001910', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601943', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601187', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300068', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601943', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001917', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002244', 1, <type 'exceptions.Exception'>, ':', HTTPError())
